Ea (kJ/mol),T1 (°C),T2 (°C),D2/D1,Percent Increase
40.0,20.0,29.0,1.6304481443127405,63.044814431274055
40.0,20.0,30.0,1.7183772125508174,71.83772125508175
40.0,21.0,24.0,1.1795467447399535,17.954674473995347
40.0,21.0,25.0,1.2453731459697226,24.53731459697226
40.0,21.0,26.0,1.3143957963181192,31.43957963181192
40.0,21.0,27.0,1.38674537608655,38.674537608655
40.0,21.0,28.0,1.4625568181065751,46.255681810657514
40.0,21.0,29.0,1.541969405335555,54.196940533555505
40.0,21.0,30.0,1.6251268694571313,62.51268694571313
40.0,21.0,31.0,1.712177490467056,71.21774904670559
40.0,22.0,25.0,1.178236463267924,17.823646326792407
40.0,22.0,26.0,1.2435381792195306,24.35381792195306
40.0,22.0,27.0,1.3119874735223234,31.19874735223234
40.0,22.0,28.0,1.3837120049288223,38.37120049288223
40.0,22.0,29.0,1.4588435478068984,45.88435478068984
40.0,22.0,30.0,1.5375180854248127,53.75180854248127
40.0,22.0,31.0,1.6198759041684838,61.987590416848384
40.0,22.0,32.0,1.7060616886719597,70.60616886719598
40.0,23.0,26.0,1.1769407999266333,17.694079992663326
40.0,23.0,27.0,1.2417243092208183,24.172430922081833
40.0,23.0,28.0,1.3096076511065566,30.960765110655665
40.0,23.0,29.0,1.3807155428080744,38.07155428080744
40.0,23.0,30.0,1.45517668504337,45.517668504337
40.0,23.0,31.0,1.5331238511956988,53.31238511956988
40.0,23.0,32.0,1.6146939773493554,61.46939773493554
40.0,23.0,33.0,1.7000282531713469,70.0028253171347
40.0,24.0,27.0,1.1756595338595726,17.565953385957258
40.0,24.0,28.0,1.2399312063118066,23.993120631180666
40.0,24.0,29.0,1.307255869436105,30.725586943610494
40.0,24.0,30.0,1.3777553765496693,37.775537654966925
40.0,24.0,31.0,1.4515554369526305,45.15554369526305
40.0,24.0,32.0,1.5287857011735593,52.87857011735593
40.0,24.0,33.0,1.609579847015868,60.957984701586795
40.0,24.0,34.0,1.6940756663870955,69.40756663870955
40.0,25.0,28.0,1.1743924484317834,17.439244843178336
40.0,25.0,29.0,1.2381585473604257,23.815854736042574
40.0,25.0,30.0,1.30493167828162,30.493167828162004
40.0,25.0,31.0,1.374830905908005,37.48309059080051
40.0,25.0,32.0,1.4479790278600564,44.797902786005636
40.0,25.0,33.0,1.5245026561643535,52.45026561643535
40.0,25.0,34.0,1.6045322994933493,60.45322994933493
40.0,25.0,35.0,1.6882024461291596,68.82024461291596
40.0,26.0,29.0,1.1731393311321554,17.31393311321554
